BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t38,48815.380811961055,0.00012217583937130112,-537.2630167179573,3599.522310543079,-7608.333154706452,5.467469508437539e-7,6.101351240393305e-8,11478.528148487698,-162.42117613952425,-55227.0,14967.79325400618,0.0001276068700287451,-468.613477189747,203.37603024892937,-266.1854345117571,5.425166333838702e-7,6.375415198431792e-8,-11478.528148487698,-162.42117613952425,-2633.0
t39,47638.910702927475,0.00012036935269929699,-684.508387513707,3715.7200893439267,-7172.615917902174,5.468417248744929e-7,6.101702284558858e-8,11145.9156817159,-157.71470973740838,-54132.0,14887.866257832,0.0001252324208914539,-619.4453003196279,199.86312448801803,-427.9391066481578,5.42301537972777e-7,6.376778209722213e-8,-11145.9156817159,-157.71470973740838,-2579.0
t40,45046.980515173214,0.0001157001487710443,-20.155513362218446,5065.96232827492,-5117.167554346881,5.467556406381678e-7,6.101351514205904e-8,10555.081798599444,-149.35441028781025,-55036.0,13554.77608354858,0.0001202806703652751,-21.641046314573558,264.06078587787573,-311.4053248233297,5.421305908524714e-7,6.370867340215753e-8,-10555.081798599444,-149.35441028781025,-2632.0
t41,47510.540918172876,0.00017767129141241656,-0.00028866415326416536,6381.310311177915,-6383.3629809685945,5.481139953142178e-7,6.104738942278595e-8,10390.557513027796,-147.0263913595696,-57409.0,13359.307058244769,0.0001847346003584614,-0.00030014153287558055,351.126723381627,-269.8233710799326,5.436816213726285e-7,6.372402878892746e-8,-10390.557513027796,-147.0263913595696,-2756.0
t42,57355.06761277161,0.00012634912518110967,-0.0006295699490050926,7896.470399053287,-8097.91697987926,5.478217490862539e-7,6.104210077114773e-8,6147.342126234447,-86.98489362954669,-62931.0,9448.65602279215,0.0001309179711490353,-0.000651480626694171,419.1919554827936,-511.5355448256272,5.433471228859124e-7,6.353309873220256e-8,-6147.342126234447,-86.98489362954669,-3035.0
t43,52249.70575002103,2086.688038497068,-8.74048095996396e-5,8498.884383290027,-195.1758046663992,5.538143741111516e-7,6.121939285041936e-8,3492.734965285507,-49.42220152533413,-65838.0,4557.688881704119,1793.274399753995,-9.054942059617246e-5,439.9922467253775,-48.37606991352436,5.520577541463471e-7,6.357317415237904e-8,-3492.734965285507,-49.42220152533413,-3151.0
t44,55636.91721163913,119.72793263085471,-8.74867944450728e-5,5543.076526289362,-1586.642080438924,5.492213675518885e-7,6.120228884947563e-8,3752.0977079879276,-53.092184312381704,-63163.0,6530.463085484876,151.02082508917306,-9.246638278639918e-5,287.31971735189796,-111.5214594602715,5.496450058664361e-7,6.37545163300424e-8,-3752.0977079879276,-53.092184312381704,-2999.0
t45,55831.14234784237,129.67750071267713,-8.809693083941609e-5,4409.28928450739,-2688.697674775248,5.52622039210296e-7,6.121662351471795e-8,4856.006458060004,-68.71249312910615,-62204.0,7681.446192421269,159.48139483049093,-9.304226156322878e-5,239.90843342967113,-139.40448393394954,5.492177121957413e-7,6.377772252534081e-8,-4856.006458060004,-68.71249312910615,-2948.0
t46,54393.57072495202,159.24377205615252,-8.716334749650014e-5,3802.474926853409,-2618.7025718993264,5.496406591050353e-7,6.120589747367772e-8,5381.708429227035,-76.15117601476882,-60770.0,8151.957199326936,192.12666293796582,-9.196783640134438e-5,206.30193086451493,-137.37492051825174,5.494151122609619e-7,6.383178476682631e-8,-5381.708429227035,-76.15117601476882,-2879.0
t47,48401.05351094633,352.54696160782305,-8.737240390411045e-5,3388.108289373776,-952.7399583863537,5.493191775044745e-7,6.12048573729942e-8,7277.9912826041555,-102.98357838972397,-58065.0,9762.023022829168,433.49780369971063,-9.207544771881404e-5,176.92939359082908,-128.49168927340298,5.489009309312286e-7,6.384435512849004e-8,-7277.9912826041555,-102.98357838972397,-2760.0
t48,47401.70285922528,500.9877285727551,-8.560139784106693e-5,3421.699606138216,-4061.0709633870856,5.490927266583341e-7,6.12044052918052e-8,9049.782546593842,-128.0544247727677,-55861.0,11360.804619691973,559.6488202345183,-9.00722686467942e-5,174.3590213361511,-118.92097566325569,5.484292397573572e-7,6.383198325849711e-8,-9049.782546593842,-128.0544247727677,-2670.0
t49,47901.860824988136,50.99165471758254,-6.066369680648617e-5,3568.359071237255,-6648.868202561173,5.527436600334133e-7,6.122117164485534e-8,10502.88109272297,-148.6157692025705,-54882.0,13478.718366123518,54.69310678464174,-6.41138977613591e-5,193.70745798997729,-281.0062362681562,5.482154152492417e-7,6.381047377108306e-8,-10502.88109272297,-148.6157692025705,-2646.0
t50,47183.26757014795,6.780544111347822e-5,-0.001269438969801545,3249.0885869701474,-7315.529511780083,5.458737059639411e-7,6.10402203773945e-8,12331.138652967564,-174.48561448658464,-54903.0,15759.514548025922,7.145894530874853e-5,-0.0012468812395623706,150.84455659090096,-568.2480478596685,5.42279590717283e-7,6.359539688331751e-8,-12331.138652967564,-174.48561448658464,-2662.0
t51,46303.40396996654,0.0001270269844542801,-0.0004506231746953323,3123.7074383519084,-7053.4344790753685,5.464365156545894e-7,6.104914370238581e-8,13748.395870265127,-194.53980410785408,-55537.0,16945.42211930153,0.00013316697557341574,-0.0004500489423042729,169.96122395052367,-275.90754849559795,5.426940220313937e-7,6.365057230644235e-8,-13748.395870265127,-194.53980410785408,-2702.0
t52,45400.154956203376,0.00015041688105698738,-0.00031664481892100516,3348.648908303163,-5178.577015941073,5.461353488364863e-7,6.104157699700637e-8,13943.363373932367,-197.2985942880213,-56923.0,17170.841254282434,0.00015900621294580558,-0.00031637363706971285,185.2025056029328,-239.08304061594163,5.42795904252687e-7,6.360720702311866e-8,-13943.363373932367,-197.2985942880213,-2779.0
t53,47315.91393081246,0.00017837094336755065,-0.0002490121387249888,3475.5905881611066,-5596.148943873254,5.457871544531182e-7,6.104081192725695e-8,14758.297178494819,-208.82990763057242,-59340.0,18113.117866220433,0.0001911182374061023,-0.00024840348810133416,196.04203805951087,-230.2028538447618,5.425258997248126e-7,6.350154416404481e-8,-14758.297178494819,-208.82990763057242,-2903.0
t54,52652.91739289547,0.00021329804825446976,-0.00020822968506747295,4103.771697265421,-6421.60501868477,5.450541468939951e-7,6.103840996067952e-8,15136.265098581143,-214.17815371667302,-64847.0,18744.274161288802,0.00023379782395025134,-0.0002070222588961889,230.5997327935691,-231.25251544916034,5.423599454263814e-7,6.334134137796035e-8,-15136.265098581143,-214.17815371667302,-3179.0
t55,56174.38731627827,0.00026384824898366286,-0.00018209039967143352,6325.001446511098,-2303.2043545035613,5.448079318642457e-7,6.103370506248134e-8,15155.715120764757,-214.45337155984353,-74727.0,19141.437602376314,0.0003053140986644849,-0.00017706215685201978,333.4848915223156,-177.3007588717393,5.42526842176612e-7,6.308584710896268e-8,-15155.715120764757,-214.45337155984353,-3713.0
t56,56093.62557941442,0.0004233148675317611,-0.00014773014652951053,6771.418197924295,-1566.8983620365507,5.46001266982291e-7,6.103778038488602e-8,15173.250161571907,-214.70149238671954,-75846.0,19024.70676895018,0.0005632770526970758,-0.00013883392700539114,396.2745776723534,-82.32862532678334,5.432873999207111e-7,6.318087756337978e-8,-15173.250161571907,-214.70149238671954,-3736.0
t57,52420.79882995584,0.0011495686866396656,-4.155051314797025e-5,6762.569242621936,-2854.604805496868,5.447835948628445e-7,6.103736506394475e-8,16528.999173257416,-233.88534039500016,-72194.0,20442.271602062043,0.0008927036100083894,-4.4646301224615766e-5,367.089535946786,-286.5921326288304,5.467993534458458e-7,6.331430952236591e-8,-16528.999173257416,-233.88534039500016,-3526.0
t58,52532.4129619349,4.191786544850719e-5,-406.83165840138753,5362.362351170292,-5356.410306148089,5.301067122710328e-7,6.065238391985051e-8,16182.458161813523,-230.99933822229852,-67656.0,21165.970110805898,4.590800874212708e-5,-978.1617198596343,239.09903663658116,-513.4506358255758,5.299908089171761e-7,6.284649684106494e-8,-16182.458161813523,-230.99933822229852,-3269.0
t59,49661.771882472734,0.0013504044702561384,-476.863716065795,5019.248735256047,-4575.794803812441,5.298814520019425e-7,6.065110219870181e-8,15480.217712300442,-225.29414235737073,-64462.0,19533.13739705846,0.0013529591075111698,-460.86797420919345,240.73423521380528,-273.19901460019184,5.302342418879705e-7,6.295695882122925e-8,-15480.217712300442,-225.29414235737073,-3109.0
t60,52534.10540302203,0.0014146642868569106,-533.8561791924941,4412.830473517504,-5577.972905421295,5.29827921116764e-7,6.065130988344479e-8,11147.751815157244,-190.4335729531889,-61406.0,14832.424681806237,0.0013674384332914738,-348.01527405508864,227.38458490332843,-245.17639962238445,5.30087177032468e-7,6.301260210556183e-8,-11147.751815157244,-190.4335729531889,-2938.0
t61,52422.54112634601,0.0014670191288551407,-414.23748526145675,4528.961109133881,-3268.7796037354096,5.302369721353142e-7,6.065634913119808e-8,6709.446453968744,-166.97009581598186,-59448.0,10155.621395624567,0.001416159126431238,-308.073206369008,232.1888326070251,-200.35179301468145,5.305462994047165e-7,6.313943557675198e-8,-6709.446453968744,-166.97009581598186,-2836.0
t62,56132.114782076016,0.0014630984190805271,-456.55046238669263,3970.4833451901704,-5474.054531820147,5.302389304159432e-7,6.065570420221034e-8,3859.868917520532,-169.935318919837,-57496.0,7284.227174737918,0.0014244694530685569,-347.54831870141277,216.57953230073292,-220.5202580401891,5.305319684966975e-7,6.317452121285646e-8,-3859.868917520532,-169.935318919837,-2733.0
t63,58734.713541360215,0.0014805721837441665,-456.5138840080945,3774.7126276729787,-8772.351993548844,5.335776384632592e-7,6.066972358735703e-8,3585.568928335955,-177.56891227518696,-56315.0,6999.853502479512,0.0014284983137245867,-368.93498682820706,219.87148855617747,-238.08468041352478,5.307836864896203e-7,6.327538854838482e-8,-3585.568928335955,-177.56891227518696,-2672.0
t64,59130.43952232235,0.0014346559274669927,-460.6395394055473,4725.20607027953,-8896.099689803823,5.3018924677896e-7,6.065539864221952e-8,3283.468691230194,-173.1918067202593,-57240.0,6747.201877628994,0.0014125101747494457,-380.7870801275672,274.4660038923454,-288.02990982682223,5.304308747132907e-7,6.315875073928137e-8,-3283.468691230194,-173.1918067202593,-2723.0
t65,56830.19357681417,0.0014021478671742739,-396.29043731359286,6356.545779557453,-7378.903396528344,5.300425953785572e-7,6.065366598907906e-8,4802.177611357823,-158.36583009856807,-59701.0,8337.182487460159,0.0013839577794531892,-349.63359115567937,356.09319185923175,-369.7342011597591,5.301669792614247e-7,6.30585979484496e-8,-4802.177611357823,-158.36583009856807,-2855.0
t66,53392.83957406259,0.0013451039363330068,-415.08171509208273,8327.595408132744,-6952.211536911199,5.302278362400248e-7,6.065501754518007e-8,11268.5440160607,-183.34710775901038,-65059.0,15170.550175006938,0.0013168710076778968,-408.5375731940071,451.57553559038286,-450.35122328879436,5.302395652365447e-7,6.295725105853237e-8,-11268.5440160607,-183.34710775901038,-3128.0
t67,46319.28402724253,2095.4794137074073,-0.0002336767396624296,8828.095216669995,-0.00023537875580278842,5.34244151507916e-7,6.077660309248752e-8,10952.078523903394,-154.9719190123613,-67689.0,12212.55710530874,1802.2317450871808,-0.00024009081460099176,479.2340028695891,-0.0002518477704813587,5.380668031422812e-7,6.312677076513032e-8,-10952.078523903394,-154.9719190123613,-3232.0
t68,48075.038547976714,1304.3837970991992,-9.746396361291362e-5,5806.384719203157,-0.0002309880903672446,5.334934126266722e-7,6.07728793087486e-8,9879.784042420888,-139.7989519028534,-64590.0,11363.685445695524,1541.5108646946335,-0.00010612559157941016,315.1859996560513,-0.0002582915520491785,5.343734976815194e-7,6.315593898511519e-8,-9879.784042420888,-139.7989519028534,-3061.0
t69,48357.55924930732,0.00015097627062328586,-207.31054438771014,4503.980269876467,-1074.336907450399,5.290973809020891e-7,6.064745915827512e-8,12243.606426348722,-181.2528844151457,-63265.0,15781.461904464732,0.00015401066338608944,-220.1328993170745,212.57054816427947,-171.78751273711669,5.304670207941745e-7,6.306466101329661e-8,-12243.606426348722,-181.2528844151457,-2996.0
t70,50986.14093664814,0.001363255246939981,-856.7681256843726,3336.9509729695933,-3947.6244964858197,5.321706603042171e-7,6.06628634693042e-8,11796.209707026424,-191.45874094674718,-60736.0,16126.37979795849,0.0013577225558032615,-825.0891900558597,171.3730022027201,-425.5377795014434,5.303537785627617e-7,6.310143456822537e-8,-11796.209707026424,-191.45874094674718,-2868.0
