Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2
CO2,CO2 gross,CO2 gross,CO2 net,CO2 net
x228,-118.28508051848783,-0.0,-118.28508051848783,0.0
x229,-118.28508051780108,-0.0,-118.28508051780108,0.0
x230,-118.28508051708795,-0.0,-118.28508051708795,0.0
x231,-118.28508051606808,-0.0,-118.28508051606808,0.0
x232,-118.28508051423107,-0.0,-118.28508051423107,0.0
x233,-118.28507978304413,-0.0,-118.28507978304413,0.0
x234,-118.28507870773886,-0.0,-118.28507870773886,0.0
x235,-11.008649107971234,-0.0,-11.008649107971234,0.0
x236,-118.28507563495143,-0.0,-118.28507563495143,0.0
x237,-118.28507881004023,-0.0,-118.28507881004023,0.0
x238,-118.28507882901438,-0.0,-118.28507882901438,0.0
x239,-118.28507883995466,-0.0,-118.28507883995466,0.0
x240,-118.28507884581441,-0.0,-118.28507884581441,0.0
x241,-118.28507884808944,-0.0,-118.28507884808944,0.0
x242,-118.28507907633238,-0.0,-118.28507907633238,0.0
x243,-118.28507918846546,-0.0,-118.28507918846546,0.0
x244,-118.28507918862891,-0.0,-118.28507918862891,0.0
x245,-118.28507918854395,-0.0,-118.28507918854395,0.0
x246,-118.28507918199736,-0.0,-118.28507918199736,0.0
x247,-118.28507846843141,-0.0,-118.28507846843141,0.0
x248,-118.28507846360365,-0.0,-118.28507846360365,0.0
x249,-118.28507920746657,-0.0,-118.28507920746657,0.0
x250,-118.28508051191294,-0.0,-118.28508051191294,0.0
x251,-118.28508051001366,-0.0,-118.28508051001366,0.0
x252,-118.28508050858136,-0.0,-118.28508050858136,0.0
x253,-118.28508050690358,-0.0,-118.28508050690358,0.0
x254,-118.28508050596406,-0.0,-118.28508050596406,0.0
x255,-118.28508050508505,-0.0,-118.28508050508505,0.0
x256,-118.28508050400099,-0.0,-118.28508050400099,0.0
x257,-118.28508050369659,-0.0,-118.28508050369659,0.0
x258,-118.28508050380537,-0.0,-118.28508050380537,0.0
x259,-118.28508050414639,-0.0,-118.28508050414639,0.0
x260,-118.28508050354374,-0.0,-118.28508050354374,0.0
x261,-118.28508050365673,-0.0,-118.28508050365673,0.0
x262,-118.28508050346298,-0.0,-118.28508050346298,0.0
x263,-118.28508050366746,-0.0,-118.28508050366746,0.0
x264,-118.28508050437011,-0.0,-118.28508050437011,0.0
x265,-118.28508050471257,-0.0,-118.28508050471257,0.0
x266,-118.28508050529496,-0.0,-118.28508050529496,0.0
x267,-118.28508050656457,-0.0,-118.28508050656457,0.0
x268,-118.28508050747077,-0.0,-118.28508050747077,0.0
x269,-118.2850805082123,-0.0,-118.2850805082123,0.0
x270,-118.28507977058688,-0.0,-118.28507977058688,0.0
x271,-118.28507676396053,-0.0,-118.28507676396053,0.0
x272,-11.008734179314093,-0.0,-11.008734179314093,0.0
x273,-118.28507647808378,-0.0,-118.28507647808378,0.0
x274,-118.28508050600433,-0.0,-118.28508050600433,0.0
x275,-118.28508050872641,-0.0,-118.28508050872641,0.0
x276,-118.2850805114612,-0.0,-118.2850805114612,0.0
x277,-118.28508051356226,-0.0,-118.28508051356226,0.0
x278,-118.28508051509482,-0.0,-118.28508051509482,0.0
x279,-118.2850805169559,-0.0,-118.2850805169559,0.0
x280,-118.28508051846761,-0.0,-118.28508051846761,0.0
x281,-118.28508047113492,-0.0,-118.28508047113492,0.0
x282,-118.28507885294222,-0.0,-118.28507885294222,0.0
x283,-118.28507356796436,-0.0,-118.28507356796436,0.0
x284,-118.28507338352937,-0.0,-118.28507338352937,0.0
x285,-118.28507755373789,-0.0,-118.28507755373789,0.0
x286,-118.28507754071995,-0.0,-118.28507754071995,0.0
x287,-118.2850775382828,-0.0,-118.2850775382828,0.0
x288,-118.28507753610536,-0.0,-118.28507753610536,0.0
x289,-118.2850775282456,-0.0,-118.2850775282456,0.0
x290,-118.28507751792841,-0.0,-118.28507751792841,0.0
x291,-118.28507750360853,-0.0,-118.28507750360853,0.0
x292,-118.28507747566798,-0.0,-118.28507747566798,0.0
x293,-118.28507742799447,-0.0,-118.28507742799447,0.0
x294,-118.2850685024027,-0.0,-118.2850685024027,0.0
x295,-118.2850556795649,-0.0,-118.2850556795649,0.0
x296,-11.008447087678848,-0.0,-11.008447087678848,0.0
x297,-118.28506844881753,-0.0,-118.28506844881753,0.0
x298,-118.28507875351335,-0.0,-118.28507875351335,0.0
x299,-118.28507879145263,-0.0,-118.28507879145263,0.0
x300,-118.28507881139475,-0.0,-118.28507881139475,0.0
x301,-118.28507893079562,-0.0,-118.28507893079562,0.0
x302,-118.28508052032356,-0.0,-118.28508052032356,0.0
x303,-118.28508052232793,-0.0,-118.28508052232793,0.0
x304,-118.28508052371865,-0.0,-118.28508052371865,0.0
x305,-118.28508052546313,-0.0,-118.28508052546313,0.0
x306,-118.28507884501975,-0.0,-118.28507884501975,0.0
x307,-11.828563376734982,-0.0,-11.828563376734982,0.0
x308,-118.28507884012797,-0.0,-118.28507884012797,0.0
x309,-118.28507885591392,-0.0,-118.28507885591392,0.0
x310,-118.28507885871471,-0.0,-118.28507885871471,0.0
x311,-118.28507886054011,-0.0,-118.28507886054011,0.0
x312,-118.28507886220582,-0.0,-118.28507886220582,0.0
x313,-118.28507886311047,-0.0,-118.28507886311047,0.0
x314,-118.28507886338927,-0.0,-118.28507886338927,0.0
x315,-118.28507886294288,-0.0,-118.28507886294288,0.0
x316,-118.28507886165258,-0.0,-118.28507886165258,0.0
x317,-118.28507885895161,-0.0,-118.28507885895161,0.0
x318,-118.28507885209198,-0.0,-118.28507885209198,0.0
x319,-118.2850788199592,-0.0,-118.2850788199592,0.0
x320,-118.28507890866001,-0.0,-118.28507890866001,0.0
x321,-118.28507890772116,-0.0,-118.28507890772116,0.0
