region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TRE,TRE_landbasedwind_class3_moderate_4,1,4,39,6.197370277348613,0.0,3.592605896100744,0.0,-2.1552092191483836,0.0,0.0,0.0,0.0,4.082803380804067,0.0,0.0,0.0,0.0,0.0,4.082803380804067,7.634766954300973,-3.5519635734969066
TRE,TRE_landbasedwind_class3_moderate_5,1,5,40,9.7425489865321,0.0,4.820910417109091,0.0,-3.6317173876099136,0.0,0.0,0.0,0.0,7.222241997518018,0.0,0.0,0.0,0.0,0.0,7.222241997518018,10.931742016031276,-3.709500018513258
TRE,TRE_landbasedwind_class3_moderate_6,1,6,41,4.839887496932842,0.0,0.9683110192007035,0.0,-0.6805748939722802,0.0,0.0,0.0,0.0,1.4064597077307774,0.0,0.0,0.0,0.0,0.0,1.4064597077307774,5.1276236221612645,-3.721163914430487
TRE,TRE_landbasedwind_class3_moderate_7,1,7,42,3.140161270019655,0.0,1.6392240477363011,0.0,-0.7262425202939986,0.0,0.0,0.0,0.0,1.3955968914273846,0.0,0.0,0.0,0.0,0.0,1.3955968914273846,4.053142797461957,-2.6575459060345725
TRE,TRE_landbasedwind_class3_moderate_8,1,8,43,5.417761885207977,0.0,1.0818591038336198,0.0,-0.8876754097084895,0.0,0.0,0.0,0.0,1.8858203832691143,0.0,0.0,0.0,0.0,0.0,1.8858203832691143,5.611945579333107,-3.726125196063993
TRE,TRE_utilitypv_class1_moderate_0,1,0,44,45.042815196847265,0.0,15.566987086395361,0.0,-18.79468759288836,0.0,0.0,0.0,0.0,40.93911881519856,0.0,0.0,0.0,0.0,0.0,40.93911881519856,41.81511469035427,-0.8759958751557093
TRE,TRE_utilitypv_class1_moderate_1,1,1,45,40.34294234436111,0.0,12.994727528559826,0.0,-16.45537346857408,0.0,0.0,0.0,0.0,35.91525356110318,0.0,0.0,0.0,0.0,0.0,35.91525356110318,36.88229640434686,-0.9670428432436822
TRE,TRE_utilitypv_class1_moderate_2,1,2,46,1.0056257102966987e9,0.0,3.381481507165006e8,0.0,-4.2800916260452473e8,0.0,0.0,0.0,0.0,9.157646806972878e8,0.0,0.0,0.0,0.0,0.0,9.157646806972878e8,9.157646984086746e8,-17.711386799812317
TRE,TRE_utilitypv_class1_moderate_3,1,3,47,10.048307595101363,0.0,2.989659099665539,0.0,-3.336518762751769,0.0,0.0,0.0,0.0,7.621669041169141,0.0,0.0,0.0,0.0,0.0,7.621669041169141,9.701447932015133,-2.0797788908459927
TRE,TRE_utilitypv_class1_moderate_4,1,4,48,6.67921619976143,0.0,1.8713966637352002,0.0,-2.0711507775428704,0.0,0.0,0.0,0.0,4.880215765749902,0.0,0.0,0.0,0.0,0.0,4.880215765749902,6.4794620859537595,-1.5992463202038572
TRE,TRE_utilitypv_class1_moderate_5,1,5,49,7.155579625616676,0.0,2.2411918739401595,0.0,-2.373439123596391,0.0,0.0,0.0,0.0,5.498296076728369,0.0,0.0,0.0,0.0,0.0,5.498296076728369,7.023332375960445,-1.5250362992320756
TRE,TRE_utilitypv_class1_moderate_6,1,6,50,2.903655293138288,0.0,0.7384750709023764,0.0,-0.8245041457052347,0.0,0.0,0.0,0.0,1.9121950817004716,0.0,0.0,0.0,0.0,0.0,1.9121950817004716,2.8176262183354295,-0.9054311366349579
TRE,TRE_utilitypv_class1_moderate_7,1,7,51,2.8203638664639263,0.0,0.7221941725280159,0.0,-0.7036294476909419,0.0,0.0,0.0,0.0,1.6678157124880784,0.0,0.0,0.0,0.0,0.0,1.6678157124880784,2.8389285913010003,-1.171112878812922
TRE,TRE_utilitypv_class1_moderate_8,1,8,52,4.422924348755953,0.0,1.1318975329360283,0.0,-1.0937776176015515,0.0,0.0,0.0,0.0,2.644435396631984,0.0,0.0,0.0,0.0,0.0,2.644435396631984,4.46104426409043,-1.816608867458446
TRE,TRE_offshorewind_class3_moderate_fixed_0_1,1,1,53,3.3143795727861622,0.0,2.2345543145383395,0.0,0.0,0.0,0.0,0.0,0.0,1.289673089185571,0.0,0.0,0.0,0.0,0.0,1.289673089185571,5.548933887324502,-4.25926079813893
TRE,TRE_offshorewind_class3_moderate_fixed_0_2,1,2,54,3.5207106110949113,0.0,2.1529722861240765,0.0,0.0,0.0,0.0,0.0,0.0,1.3420079244840177,0.0,0.0,0.0,0.0,0.0,1.3420079244840177,5.673682897218988,-4.33167497273497
TRE,TRE_offshorewind_class12_moderate_floating_0_1,1,1,55,3.789065875308007,0.0,1.4433304082696048,0.0,0.0,0.0,0.0,0.0,0.0,1.0236038949423698,0.0,0.0,0.0,0.0,0.0,1.0236038949423698,5.232396283577612,-4.208792388635242
TRE,TRE_offshorewind_class12_moderate_floating_0_2,1,2,56,3.815981879741828,0.0,1.3966022156455968,0.0,0.0,0.0,0.0,0.0,0.0,1.0815478686624707,0.0,0.0,0.0,0.0,0.0,1.0815478686624707,5.212584095387425,-4.131036226724954
TRE_WEST,TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,0,57,9.545273368815204,0.0,5.200641737229765,0.0,2.650821839777848,11.229764920578843,0.0,1.086363630958299,0.0,12.238609498432153,0.0,0.0,0.0,0.0,0.0,12.238609498432153,29.71286549735996,-17.47425599892781
TRE_WEST,TRE_WEST_naturalgas_ccavgcf_moderate_0,2,0,58,12.923089536433585,0.0,8.008642977737603,0.0,2.8189591013740793,31.823229295411984,0.0,2.021741200055656,0.0,46.127700095277596,0.0,0.0,0.0,0.0,0.0,46.127700095277596,57.59566211101291,-11.467962015735317
TRE_WEST,TRE_WEST_naturalgas_ctavgcf_moderate_0,2,0,59,5.382400303368422,0.0,2.927338816190222,0.0,1.5669558537080075,10.813875737609793,0.0,1.6928869224423202,0.0,11.226545436448134,0.0,0.0,0.0,0.0,0.0,11.226545436448134,22.383457633318763,-11.156912196870628
TRE_WEST,TRE_WEST_battery_moderate_0,2,0,60,6.602126433192803,10.313623057729858,3.836378990358093,5.993677030342047,0.14450417308173807,0.0,0.17072799271943917,0.0,11.41262876214849,29.73165042704616,0.0,0.0,0.0,0.0,0.0,29.73165042704616,38.47366643957247,-8.74201601252631
TRE_WEST,TRE_WEST_nuclear_nuclear_moderate_0,2,0,61,8.568279688153421,0.0,5.763439849593643,0.0,0.6360283552142545,1.6600340071092028,0.0,0.533201826134439,0.0,5.828163299224485,0.0,0.0,0.0,0.0,0.0,5.828163299224485,17.160983726204957,-11.332820426980472
